1-350,,Original works,,,,,
1,,Opera,,,,,
1,O1,Don Sanche (Le château de l'amour),vv ch orch,,1824–25,Stage,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
50/6,A286b/1,"Was Gott tut, das ist wohlgetan",ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/10, for v org as S.669a/6"
50/7,A286b/7,Wer nur den lieben Gott läßt walten,ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/11, for v org as S.669a/7"
50/8,A286b/9,Vexilla Regis,ch kbd,,1878–79,"Choral, sacred",arr. for pf as S.504b/9
50/9,A286b/10,Crux ave benedicta,ch kbd,,1878–79,"Choral, sacred",arr. for pf as S.504b/1
50/10,A286b/2,O Traurigkeit,ch kbd,,1878–79,"Choral, sacred",arr. for pf as S.504b/8
50/11,A286b/12,Nun danket alle Gott!,ch kbd,,1878–79,"Choral, sacred",arr. for pf as S.504b/4
50/12,A286b/11,Jesu Christe (Die fünf Wunden),ch kbd,,1878–79,"Choral, sacred",arr. for pf as S.504b/2
51,J34,Meine Seel' erhebt den Herrn! (Gott sei uns gnädig und barmherzig) (Der Kirchensegen),ch org,,1878,"Choral, sacred",arr. of S.50/2
52,J35,Septem sacramenta,mez bar ch org/harm,,1878–84,"Choral, sacred",
53,J33,Via Crucis (Les 14 stations de la croix),vv ch pf/org/harm,,1876–79,"Choral, sacred","arr. for org as S.669b, for pf4h as S.583, for pf as S.504"
54,J36,O Roma nobilis,ch org,,1878–79,"Choral, sacred","based on a chorus by Giuseppe Baini; Liszt's authorship of Choral, sacred parts doubtful; see also arrs. for org as S.669c, for pf as S.506b"
55,J38,Ossa arida,ch org4h,,1879,"Choral, sacred",
56,J37,Rosario,ch org/harm (+ bar),,1879,"Choral, sacred",
56/1,J37/1,Mysteria gaudiosa,ch org/harm,,1879,"Choral, sacred",arr. for org/harm as S.670/1
56/2,J37/2,Mysteria dolorosa,ch org/harm,,1879,"Choral, sacred",arr. for org/harm as S.670/2
56/3,J37/3,Mysteria gloriosa,ch org/harm,,1879,"Choral, sacred",arr. for org/harm as S.670/3
56/4,J37/4,Pater noster,bar/mch org/harm,,1879,"Choral, sacred",
57,J46,In domum Domini ibimus,ch br perc org,,1884,"Choral, sacred","arr. for pf as S.505, for org as S.671"
58,J40,O sacrum convivium,alt fch org/harm,,1880–85,"Choral, sacred",arr. for org/harm as S.674a
59,J39,Pro Papa,ch org,,1880,"Choral, sacred",
59/1,J39/1,Tu es Petrus,mch org,,1880,"Choral, sacred",
59/2,J39/2,Dominus conservet eum,ch org,,1880,"Choral, sacred",
60,J44,Ave Maria III (Sposalizio),alt fch org/harm,,1883,"Choral, sacred","based on S.161/1; arr. for org/harm as S.671a, for v 2pf as S.700g"
61,J43,Nun danket alle Gott,ch/mch 2tpt 3tbn timp org,,1883,"Choral, sacred",arr. for org as S.674c
62,J47,Mariengarten,ch org (+ alt ten),,1884?,"Choral, sacred",
63,J48,Qui seminant in lacrimis,ch org,,1883,"Choral, sacred",
64,J49,Pax vobiscum!,mch (+ org),,1885,"Choral, sacred",
65,J50,Qui Mariam absolvisti,bar ch org/harm,,1885,"Choral, sacred",
66,J51,Salve Regina,ch,,1885,"Choral, sacred",
67-94,,Secular choral works,,,,,
67,L1,Festkantate zur Enthüllung des Beethoven-Denkmals in Bonn (Was versammelt hier die Menge),6vv orch,,1845,"Choral, secular",arr. for pf4h as S.584; extracts arr. for pf in S.507
,,(Beethoven Cantata No.1),,,,,
68,L12,Zur Säcularfeier Beethovens,4vv ch orch,,1869–70,"Choral, secular",
,,(Beethoven Cantata No.2),,,,,
69/1,L8/1,Chöre zu Herders Entfesseltem Prometheus,sop alt 2ten 2bass ch orch,,1850,"Choral, secular","1st version of S.69/2, S.69/3; No.4 arr. for pf as S.507a (incomplete); No.5 arr. for pf as S.692e (unfinished); overture rev. as S.99"
69/2,L8/2,Chöre zu Herders Entfesseltem Prometheus,sop alt 2ten 2bass 2ch orch,,1855–59,"Choral, secular","2nd version of S.69/1, S.69/3; No.4 arr. for pf as S.508, for pf4h as S.585"
69/3,L8/3,Chöre zu Herders Entfesseltem Prometheus,sop alt 2ten 2bass 2ch orch,,1877?,"Choral, secular","3rd version of S.69/1, S.69/2"
70/1,L9/1,An die Künstler,4vv mch ww br,,1853,"Choral, secular","instrumentation by Joachim Raff; 1st version of S.70/2, S.70/3"
70/2,L9/2,An die Künstler,4vv mch orch,,1853–54,"Choral, secular","2nd version of S.70/1, S.70/3"
70/3,L9/3,An die Künstler,4vv mch org orch,,1856–57,"Choral, secular","3rd version of S.70/1, S.70/2; themes used in S.114"
71a,L11/1,Gaudeamus igitur (Humoreske),orch,,1869–70,Orchestral,"1st version of S.71b, S.71c; arr. for pf as S.509; for pf4h as S.586"
71b,L11/2,Gaudeamus igitur (Humoreske),mch orch,,1869–70,"Choral, secular","2nd version of S.71a, S.71c"
71c,L11/3,Gaudeamus igitur (Humoreske),ch orch,,1869–70,"Choral, secular","3rd version of S.71a, S.71b"
72,,Vierstimmige Männergesänge (4):,mch pf,,1841–42,"Choral, secular",
72/1a,M2/1,Rheinweinlied (Wo solch ein Feuer),mch pf,,1841,"Choral, secular",1st version
72/1b,M2/2,Rheinweinlied (Wo solch ein Feuer),mch pf,,1884,"Choral, secular",2nd version
72/2,M3,Studentenlied aus Goethe's Faust (Es lebt’ eine Ratt im Kellernest),mch,,1841–42,"Choral, secular",
72/3,M4,Reiterlied I (Die bange Nacht ist nun herum),mch,B? major,1841–42,"Choral, secular",for alternative setting see S.72/4
72/4,M5,Reiterlied II (Die bange Nacht ist nun herum),mch,C major,1841–42,"Choral, secular",for alternative setting see S.72/3
73,M19,Es war einmal ein König (Flohlied),bar/bass mch pf,,1844–45,"Choral, secular",
74/1,M1,Das deutsche Vaterland I (Was ist das deutsche Vaterland?),4vv mch pf,D major,1841,"Choral, secular",1st version of S.74/2
74/2,M27,Das deutsche Vaterland II (Was ist das deutsche Vaterland?),mch,C major,1848,"Choral, secular",2nd version of S.74/1
75/1,M12/1,Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),mch,,1842,"Choral, secular","No.3 of Vierstimmige Männergesänge; 1st version of S.75/2, S.75/3"
75/2,M12/2,Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),mch,,1849,"Choral, secular","2nd version of S.75/1, S.75/3"
75/3,M12/3,Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),mch 2hn,,1856,"Choral, secular","3rd version of S.75/1, S.75/2"
76,M11,Das düstre Meer umrauscht mich,mch pf,,1842,"Choral, secular",No.2 of Vierstimmige Männergesänge
76a,M15,Heil! Unsrer Glocke heil,mch pf,,1843,"Choral, secular",
77,M26,Die lustige Legion,mch (+ pf),,1846?,"Choral, secular",
78,M17,"Trinkspruch (Giesst Wein in die Gläser, ihr Zecher!)",mch pf,,1843–44,"Choral, secular",No.1 of Sechs Männerchöre
79/1,M14/2,Titan (Auf des Athos blauen Felsenspitzen),bar mch pf,,1842–47,"Choral, secular",2nd version of S.700j; arr. for bar mch orch as S.79/2
79/2,L4,Titan (Auf des Athos blauen Felsenspitzen),bar mch orch,,1848,"Choral, secular",arr. of S.79/1
80a,M20,Les quatre éléments,mch pf/pf4h,,1844–45,"Choral, secular",arr. for mch orch by Liszt and August Conradi as S.80b
80a/1,M20/1,La terre,mch pf,,1844–45,"Choral, secular",arr. for mch orch by Liszt and August Conradi as S.80b/1
80a/2,M20/2,Les aquilons,mch pf4h,,1844,"Choral, secular",arr. for mch orch by Liszt and August Conradi as S.80b/2
80a/3,M20/3,Les flots,mch pf,,1845,"Choral, secular",arr. for mch orch by Liszt and August Conradi as S.80b/3
80a/4,M20/4,Les astres,mch pf,,1845?,"Choral, secular",arr. for mch orch by Liszt and August Conradi as S.80b/4
80b,L2,Les quatre éléments,mch orch,,1844–48,"Choral, secular",arr. of S.80a by Liszt and August Conradi; sketches for overture rev. as S.97
80b/1,L2/1,La terre,mch orch,,1844–48,"Choral, secular",arr. of S.80a/1 by Liszt and August Conradi
80b/2,L2/2,Les aquilons,mch orch,,1844–48,"Choral, secular",arr. of S.80a/2 by Liszt and August Conradi
80b/3,L2/3,Les flots,mch orch,,1845–48,"Choral, secular",arr. of S.80a/3 by Liszt and August Conradi
80b/4,L2/4,Les astres,mch orch,,1845–48,"Choral, secular",arr. of S.80a/4 by Liszt and August Conradi
81/1,M21,"Le forgeron (Le fer est dur, frappons, frappons)",2vv mch pf,,1845,"Choral, secular",arr. for 2vv mch orch by Liszt and August Conradi as S.81/2
81/2,L3,"Le forgeron (Le fer est dur, frappons, frappons)",2vv mch orch,,1845–48,"Choral, secular",arr. of S.81/1 by Liszt and August Conradi
81a,M25,A patakhoz (A patakcsa),mch,,1846,"Choral, secular",
82,M16,"Arbeiterchor (Herbei, herbei, den Spath’ und Schaufel ziert)",bar mch pf,,1843–48?,"Choral, secular",arr. for pf as S.510; arr. for pf4h as S.587
83a,L5,Ungaria-Kantate (Aus Osten aus der Sonne Tor),vv mch pf,,1842–48?,"Choral, secular",arr. for vv mch orch by Liszt and August Conradi as S.83b
83b,L5,Ungaria-Kantate (Aus Osten aus der Sonne Tor),vv mch orch,,1848,"Choral, secular",arr. of S.83a by Liszt and August Conradi
84/1,M28/1,"Licht, mehr Licht",mch 3tbn tba,,1849,"Choral, secular",1st version of S.84/2
84/2,M28/2,"Licht, mehr Licht",mch 2tpt 3tbn,,1856,"Choral, secular",2nd version of S.84/1
85/1,M29/1,"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",mch pf,,1849,"Choral, secular","1st version of S.85/2, S.85/3"
85/2,M29/2,"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",fch hp pf/harm,,1849,"Choral, secular","2nd version of S.85/1, S.85/3"
85/3,L7,"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",ch hp/pf,,1849,"Choral, secular","3rd version of S.85/1, S.85/2"
86a,M30,Festchor zur Enthüllung des Herder-Denkmals in Weimar,mch pf,,1850,"Choral, secular",arr. for mch br as S.86b
86b,M30,Festchor zur Enthüllung des Herder-Denkmals in Weimar,mch br,,1850,"Choral, secular",arr. of S.86a
87/1a,L10a,Weimars Volkslied (Von der Wartburg),mch ww br perc,E major,1857,"Choral, secular",arr. of S.313; 1st version of S.87/1bis; arr. for mch pf as S.87/1b
87/1b,M32a,Weimars Volkslied (Von der Wartburg),mch pf,E major,"1857, rev. 1875?","Choral, secular",arr. of S.87/1a
87/1bis,L10a,Weimars Volkslied (Von der Wartburg),mch ww br perc,E major,1875?,"Choral, secular",2nd version of S.87/1a
87/2,M32b,Weimars Volkslied (Von der Wartburg),mch (+ pf),F major,1857?,"Choral, secular",arr. of S.313
87/3a,M32c/1,Weimars Volkslied (Von der Wartburg),mch,E major,1860?,"Choral, secular",arr. of S.313; 1st version of S.87/3b
87/3b,M32c/2,Weimars Volkslied (Von der Wartburg),mch,E major,1875?,"Choral, secular",2nd version of S.87/3a; not published
87/4,M32d,Weimars Volkslied (Von der Wartburg),mch org,E major,1875,"Choral, secular",arr. of S.313
87/5,M32e,Weimars Volkslied (Von der Wartburg),mch (+ pf),E major,1875,"Choral, secular",byarr. of S.313 [by Bernhard Sulze ?]
87/6,M32f,Weimars Volkslied (Von der Wartburg),uch,E major,1875?,"Choral, secular",arr. of S.313
87/7,M32g,Weimars Volkslied (Von der Wartburg),cch,F major,1875?,"Choral, secular",arr. of S.313
87/8a,L10b/1,Weimars Volkslied (Von der Wartburg),uch br,C major,1857?,"Choral, secular",arr. of S.313; arr. for uch pf as S.87/8b
87/8b,L10b/2,Weimars Volkslied (Von der Wartburg),uch pf,C major,1857?,"Choral, secular",arr. of S.87/8a
88,M34b,Mit klingendem Spiel I (Morgenlied),fch,,1859,"Choral, secular",alternative text to S.89
89,M34a,Mit klingendem Spiel II (Morgenlied),cch,,1859,"Choral, secular",alternative text to S.88
90/1a,M31/1,"Vereins-Lied (Frisch auf, zu neuem Leben)",mch,,1855,"Choral, secular","1st version of S.90/1b, S.90/1c"
90/1b,M31/2,"Vereins-Lied (Frisch auf, zu neuem Leben)",mch,,1857,"Choral, secular","2nd version of S.90/1a, S.90/1c"
90/1c,M31/3,"Vereins-Lied (Frisch auf, zu neuem Leben)",mch,,1860,"Choral, secular","No.1 of Für Männergesang; 3rd version of S.90/1a, S.90/1b"
90/2a,M7/1,"Ständchen (Hüttelein, still und klein)",ten mch,A major,1841–43?,"Choral, secular","1st version of S.90/2b, S.90/2c"
90/2b,M7/2,"Ständchen (Hüttelein, still und klein)",ten mch,A major,1845–49?,"Choral, secular","No.6 of Sechs Männerchöre; 2nd version of S.90/2a, S.90/2c"
90/2c,M7/3,"Ständchen (Hüttelein, still und klein)",ten mch,G major,1857–60,"Choral, secular","No.2 of Für Männergesang; 3rd version of S.90/2a, S.90/2b"
90/3a,M10/1,Wir sind nicht Mumien,mch pf,,1842,"Choral, secular",No.1 of Vierstimmige Männergesänge; 1st version of S.90/3b
90/3b,M10/2,Wir sind nicht Mumien,mch pf,,1860–61,"Choral, secular",No.3 of Für Männergesang; 2nd version of S.90/3a
90/4a,M22/1,Vor der Schlacht (Es rufet Gott uns mahnend),mch pf,,1845,"Choral, secular",1st version of S.90/4b; arr. for pf as S.511/1
90/4b,M22/2,Vor der Schlacht (Es rufet Gott uns mahnend),mch,,1860,"Choral, secular",No.4 of Für Männergesang; 2nd version of S.90/4a
90/5a,M23/1,Nicht gezagt,mch pf,A? major,1845,"Choral, secular",1st version of S.90/5b; arr. for pf as S.511/2
90/5b,M23/2,Nicht gezagt,mch,G major,1860,"Choral, secular",No.5 of Für Männergesang; 2nd version of S.90/5a
90/6a,M24/1,Es rufet Got,mch pf,,1845,"Choral, secular",1st version of S.90/6b; arr. for pf as S.511/3
90/6b,M24/2,Es rufet Got,mch,,1860,"Choral, secular",No.6 of Für Männergesang; 2nd version of S.90/6a
90/7a,M18/1,Soldatenlied aus Faust (Burgen mit hohen Mauern und Zinnen),mch (+tpt timp),,1844,"Choral, secular",No.5 of Sechs Männerchöre; 1st version of S.90/7b
90/7b,M18/2,Soldatenlied aus Faust (Burgen mit hohen Mauern und Zinnen),mch (+tpt timp),,1860–61,"Choral, secular",No.7 of Für Männergesang; 2nd version of S.90/7a
90/8a,M9/1,Die alten Sagen kunden,mch pf,B? major,1841–45?,"Choral, secular",No.2 of Sechs Männerchöre; 1st version of S.90/8b
90/8b,M9/2,Die alten Sagen kunden,4vv mch,A minor,1860–61,"Choral, secular",No.8 of Für Männergesang; 2nd version of S.90/8a
90/9a,M8/1,Saatengrün,mch pf/(hp?),,1843?,"Choral, secular",No.3 of Sechs Männerchöre; 1st version of S.90/9b
90/9b,M8/2,Saatengrün,mch,A major,1860–61,"Choral, secular",No.9 of Für Männergesang; 2nd version of S.90/9a
